PlayerID,DateOfBirth,Height,Weight,PhysicalityScore
158023,6/24/1987,170,72,65
20801,2/5/1985,187,83,77
188545,8/21/1988,185,81,82
190871,2/5/1992,175,68,58
192985,6/28/1991,181,70,78
200389,1/7/1993,188,87,90
231747,12/20/1998,178,73,76
203376,7/8/1991,193,92,85
192448,4/30/1992,187,85,88
167495,3/27/1986,193,93,88
209331,6/15/1992,175,71,75
200104,7/8/1992,183,78,70
155862,3/30/1986,184,82,85
165153,12/19/1987,185,81,76
193041,12/15/1986,185,80,87
192119,5/11/1992,199,96,86
200145,2/23/1992,185,84,90
202126,7/28/1993,188,89,83
212622,2/8/1995,177,75,80
212831,10/2/1992,191,91,90
208722,4/10/1992,175,69,76
201024,6/20/1991,187,89,86
182521,1/4/1990,183,76,68
210257,8/17/1993,188,86,87
212198,9/8/1994,179,69,78
215914,3/29/1991,168,70,82
189596,9/13/1989,185,76,71
153079,6/2/1988,173,70,69
162835,7/14/1984,193,92,89
167948,12/26/1986,188,82,85
186153,4/18/1990,195,90,87
